Turkish,Correct English,Fake Option 1,Fake Option 2
Öğrenciler parayı saymak zorunda mı?,Do the students have to count the money?,Are the students have to count the money?,Does the students have to count the money?
Biri kapıyı açmak zorunda kaldı mı?,Did somebody have to open the door?,Was somebody have to open the door?,Did anybody have to open the door?
Hemşireler makineyi tamir etmek zorunda değil.,The nurses don't have to repair the machine.,The nurses haven't to repair the machine.,The nurses aren't have to repair the machine.
Herkes bilet almak zorunda kalacak mı?,Will everybody have to buy tickets?,Do everybody have to buy tickets?,Are everybody have to buy tickets?
Hiç kimse arabayı satmak zorunda kalmadı.,Nobody had to sell the car.,Anybody had to sell the car.,Nobody didn't have to sell the car.
Polis birini göndermek zorunda kaldı mı?,Did the police have to send somebody?,Was the police have to send somebody?,Did the police had to send somebody?
Pilotlar uçağı uçurmak zorunda kalmadı.,The pilots didn't have to fly the plane.,The pilots hadn't to fly the plane.,The pilots wasn't have to fly the plane.
Öğretmenler her şeyi öğretmek zorunda kalacak mı?,Will the teachers have to teach everything?,Do the teachers have to teach everything?,Are the teachers have to teach everything?
Hiçbir şeye dokunmak zorunda kalmadık.,We didn't have to touch anything.,We hadn't to touch anything.,We wasn't have to touch anything.
Bir şey almak zorunda mıyım?,Do I have to take something?,Am I have to take something?,Have I to take something?
Öğrenciler kitabı bitirmek zorunda kalacak mı?,Will the students have to finish the book?,Do the students have to finish the book?,Are the students have to finish the book?
Biri parayı saymak zorunda kaldı mı?,Did somebody have to count the money?,Was somebody have to count the money?,Did anybody have to count the money?
Hiç kimse kutuyu açmak zorunda kalmayacak.,Nobody will have to open the box.,Anybody will have to open the box.,Nobody won't have to open the box.
Hemşireler kan almak zorunda kaldı mı?,Did the nurses have to take blood?,Was the nurses have to take blood?,Did the nurses had to take blood?
Polis trafiği durdurmak zorunda kaldı mı?,Did the police have to stop the traffic?,Was the police have to stop the traffic?,Did the police had to stop the traffic?
Herkes mesaj göndermek zorunda kalacak.,Everybody will have to send a message.,All body will have to send a message.,Everybody are have to send a message.
Pilotlar kapıyı kapatmak zorunda değildi.,The pilots didn't have to close the door.,The pilots hadn't to close the door.,The pilots wasn't have to close the door.
Öğretmenler bir şey satın almak zorunda kalacak mı?,Will the teachers have to buy something?,Do the teachers have to buy something?,Are the teachers have to buy something?
Hiç kimse bilgisayara dokunmak zorunda kalmadı.,Nobody had to touch the computer.,Anybody had to touch the computer.,Nobody didn't have to touch the computer.
Öğrenciler ödevi vermek zorunda mı?,Do the students have to give the homework?,Are the students have to give the homework?,Does the students have to give the homework?
