Turkish,Correct English,Fake Option 1,Fake Option 2
Pilot uçağı ne zaman kontrol etti?,When did the pilot check the plane?,When does the pilot check the plane?,When did the pilot checked the plane?
Ne kadar para harcayacaksın?,How much money will you spend?,How much money do you spend?,How much money are you spend?
Anahtarı nerede tutarsın?,Where do you keep the key?,Where are you keep the key?,Where does you keep the key?
Arabasını neden sattı?,Why did she sell her car?,Why did she sold her car?,Why does she sell her car?
Kimin teknesini kiralayacaklar?,Whose boat will they rent?,Whose boat do they rent?,Whose boat are they rent?
Kaç hata buldun?,How many mistakes did you find?,How many mistakes did you found?,How many mistakes were you find?
Doktor neyi kontrol etti?,What did the doctor control?,What did the doctor controlled?,What does the doctor control?
Arabasını nereye park etti?,Where did she park her car?,Where did she parked her car?,Where was she park her car?
Neyi unuttun?,What did you forget?,What did you forgot?,What were you forget?
Bugün kaç müşteri aradı?,How many customers called today?,How many customers call today?,How many customers did called today?
Polis arabaları neden durdurur?,Why do the police stop the cars?,Why are the police stop the cars?,Why does the police stop the cars?
Ne kadar kahve içersin?,How much coffee do you drink?,How much coffee are you drink?,How much coffee did you drink?
Ne kadar şeker koydu?,How much sugar did she put?,How much sugar does she put?,How much sugar was she put?
Şifreyi neden değiştireceksin?,Why will you change the password?,Why do you change the password?,Why are you change the password?
Kimin şifresini kullanırsın?,Whose password do you use?,Whose password are you use?,Whose password does you use?
